Year,Month,Day,CPI,California,Virginia,Florida,New York,New Jersey,Texas,Utah,Washington,Illinois,Colorado,Arkansas,Arizona,Nevada,Michigan,New Hampshire,Rhode Island,Pennsylvania,Tennessee,Massachusetts,the District of Columbia,Minnesota,North Carolina,Oregon,Georgia,Hawaii,West Virginia,Maryland,Maine,Idaho,Alaska,South Carolina,Wisconsin,Vermont,Missouri,Kansas,Connecticut,Delaware,Wyoming,Mississippi,Louisiana,Alabama,Indiana,Nebraska,Oklahoma,New Mexico,South Dakota,Kentucky,Ohio,Iowa
2007,01,05,207.949,467777.1154770782,258988.1575094649,244754.21002482367,279864.4638085664,359167.2058770668,139296.58127878502,228405.66753539827,314273.90266582614,202958.71737072305,232268.97958187424,119273.0918499742,269348.82740490924,318438.2453836994,139104.32123022186,246319.25793250755,280619.9653404556,164075.52900729392,144005.04491402488,340930.92739870265,387151.4311398866,204913.93799381144,164498.19794675507,269313.5276546052,165059.02919992773,473923.721292783,99884.30094762528,336796.8917828124,197327.6934707797,193090.2151635289,234613.5837231338,158613.65510661373,172084.0150676868,209980.4327092213,137746.77179422943,115646.33988879224,299368.8035860926,267128.3569307031,196531.1400431352,116520.9880331717,148516.5307256044,131979.33812415795,116965.74628646152,129888.31331709256,105291.17054032451,185897.3363001748,138633.5013942744,104895.5856660782,126590.70629825728,117940.49082931977
2007,01,06,208.352,464313.02065766783,258406.42279517927,242521.4454759412,279899.53552672017,358415.9411064884,139807.4875041156,231033.7913588257,315513.3583198484,202841.1104727441,232677.9741565402,119362.31878703932,268439.3200158156,315669.95495041244,138401.98900128022,245623.4769341685,279029.4050739596,164394.13731403963,144475.3095006924,339923.09482048656,387250.69876351807,204300.0950245669,165194.12943424983,270329.2366467109,165273.75096460292,473894.55608152784,100074.18544953813,336591.8100949624,196685.07994842145,193555.3241650027,235413.75792690183,158777.80602706946,172080.81076557623,210342.46734608104,137741.79179726177,116023.87124165829,298704.782474886,268086.1996878139,197930.6177600148,116842.23149224964,148853.20120440854,132248.61746823482,116932.54171600907,129637.92400181398,105586.89921415916,187008.36247912663,139009.42656179582,104913.2234971981,126443.2202669334,117984.83294868458
2007,01,07,208.299,459879.5941277882,257310.38071406248,239831.71835281127,279955.50401200313,357016.183541168,140263.41923119058,233684.90963209432,316087.9268227873,202574.02030081043,232979.66397111863,119425.20434545024,266910.8108291193,312382.84796246863,137557.86168811898,245005.58583069532,277752.9701403109,164737.73642903703,144862.30821097587,338554.78965833347,387257.9086765268,203453.4816986004,165793.7794896898,270861.7563285316,165375.19539268233,473051.3887267381,100218.0324260497,336135.9925954305,195675.68252884812,193992.434604333,236237.40442644464,158938.94001431437,171897.70678659528,210550.7096238639,137714.59944597035,116333.50529102246,297867.50787450466,268615.5257080732,198979.54315705752,117007.81723460944,149113.7545671017,132338.9520851403,116813.25514324223,129503.20081868842,105940.82022616731,187880.75130894085,139350.2733563879,104983.81977511923,126246.14128557307,117981.6433332453
2007,01,08,207.917,455256.5476010242,256091.6333121172,236858.98443693088,280032.89637371857,355319.8682229386,140748.00587298506,236293.889881244,316532.88637871883,202234.78059101725,233121.88116189497,119585.24501512444,264813.11123413296,308852.6558926669,136820.2378573313,244489.7414929633,276317.79413084453,164984.33621032652,145162.32898897023,337136.44769956486,387170.9636999941,202670.5923827781,166334.40124203687,270964.2526200163,165412.4582905166,472425.9385005082,100368.59174120042,335578.3820230621,195374.28632730828,194369.60893657815,237020.48428778155,159072.6875917229,171775.94792357413,210543.00291748455,137654.6585660025,116665.78961147046,297109.1137396096,268833.19958008017,199734.7922360054,117148.97261256647,149483.9812451565,132460.35400890984,116775.80340317114,129418.26563981111,106275.93194615182,188632.6261844113,139781.95540191213,105068.35746907227,126013.3616549375,118066.79737517274
2007,01,09,208.49,450060.9401602033,254976.8981955456,233815.5431885547,280038.8239095045,353658.7455344315,141225.5482682394,238264.8346007068,316733.4044362129,201695.46068395,232939.5881943124,119698.4661832921,262188.988507318,304910.3337566443,135892.05549326973,243963.98425105083,275272.16480592306,165108.38264498863,145303.15002435236,335743.4350886895,387179.4886813824,201893.86309900865,166759.6364604272,270924.0587787291,165303.3613398732,471444.55921777926,100466.35709960516,334773.36012045335,195500.67529745307,194665.6172608731,237964.02802859744,159156.8321250012,171685.86414527183,210682.89218161523,137536.2434405662,116919.78207515292,296586.8702456692,268616.48572679283,200243.7372828422,117332.34281714162,149813.343172183,132557.47209347875,116729.3673859124,129457.27202821612,106540.7964947362,188874.41136720852,140130.20364622833,105147.18791076994,125833.45609193432,118175.75823513196
2007,01,10,208.936,444608.5927420237,254011.76452517183,230702.8076591416,280242.0368148996,352143.22963986243,141665.2928458166,239780.32678645148,316224.36311351025,201094.9154712117,232503.726331066,119796.18894218926,259542.7556732151,301087.7418907371,134958.89387498892,243357.6651233225,274112.9683585081,165189.66873377396,145329.29333957058,334173.61081153335,387640.27254537,201203.60935771745,167094.0100123577,270607.9169918144,165089.90108174717,471073.2124495159,100557.90042966604,333299.3559941381,196064.1611642606,194855.2212648125,238927.4716742309,159094.26394707093,171714.7669003392,211086.3680182113,137355.72912719773,117132.28411438636,296069.28084062267,268518.6292591451,200819.61341703744,117569.2841396954,150055.03072756584,132643.6148861849,116798.0649316187,129169.05615016042,106717.1483337084,188947.99364662857,140537.84626332854,105256.0485724674,125624.30479840677,118300.62299202352
2007,01,11,210.177,439127.802067738,253057.60042642613,227448.0870693735,280446.6880151899,350619.385988147,142031.71124628128,241056.90889936956,314993.89695190376,200469.575390568,231782.5903973422,119791.34331024314,256078.9971603196,295697.40082550974,133916.83711888953,242428.43354759063,273365.54615506623,165293.55070217853,145169.46868810325,332557.59843960457,387921.4840816533,200263.4196050769,167341.67525084483,269923.02483240253,164695.10773219517,470643.8483248688,100595.67743242125,330838.0073717045,196059.43385361848,195023.4812356795,239746.37570084687,158962.72672965692,171679.62074098026,211691.54055114512,137053.450504864,117154.86849811953,295161.8791854245,268027.868619383,201328.60445895768,117694.14127466384,150247.9673915058,132631.37434623667,117009.81417613286,128846.76948918268,106880.0038832402,188938.21837218085,140998.48925730167,105299.44031410557,125281.66609818018,118415.98146772497
2007,01,12,210.036,433252.50692177535,251799.2931024877,224147.25589169303,280557.8320014086,349071.1309259366,142369.70549216695,242304.7184836265,313510.07008833525,199727.67574980124,230938.0331111131,119787.22056094256,252630.2497705632,289848.9228456914,132994.1077939203,241270.4936799909,272654.3684944994,165375.2803271348,144913.5878253718,330937.0673653993,387685.3229776812,199072.73958414808,167501.7057243711,268996.44122468133,164288.22452134977,470366.4320872403,100679.36578750708,328005.3683750885,196156.6702485541,195382.60845136349,240459.6273387208,158808.52473955086,171622.27379825234,212292.40482006213,136720.38941734575,117115.4105460299,294026.00664981967,266992.38676898764,201723.2174142415,117622.22926613528,150330.95027839465,132538.83497107925,117341.17012303052,128513.08511137748,107011.0400235356,189021.17973242965,141551.9751924162,105303.41631111829,124848.686008646,118592.5594082436
2008,01,01,211.08,427402.0640995007,250342.2973270415,220561.14539820183,280626.5648051101,347713.07581838855,142233.09045208327,243131.12660209832,312037.30822060345,198918.0563391788,229948.49200790055,119745.97331131056,248937.89734152096,282532.5146598871,132051.77816856527,239953.0171529279,271629.7830313985,165332.66659389905,144488.1065716125,329251.4654746462,387081.0473587984,197697.457413696,167608.72439479906,267635.23766325065,163675.96788938143,469738.5935020121,100806.10320017672,325553.3335334817,196243.4710893397,195765.89926316575,241026.94605555755,158760.63618823828,171511.5288740453,213327.03105863463,136420.6399205893,117030.0871300634,292078.8793122372,265298.98638959305,201979.3337894995,117588.25900846884,150423.96306137028,132337.89222401698,117563.9663217018,128163.76837450356,107059.05937361396,188990.10265081903,142192.97762960673,105253.63616881744,124383.55198705533,118820.80982628145
2008,01,02,211.693,420496.7241546484,248709.32137944316,217021.76103751076,280489.23858019937,346628.4791823644,141838.04928350923,243263.5342463114,310705.2693714842,197324.8065918513,229049.02088982656,119757.96636806206,244500.67899579424,274560.4456585725,130963.9409952667,238867.89041588505,269915.94976979453,165302.7423853377,144079.40720415278,327339.7042186496,386237.5116686804,196110.8465334921,167672.81814011652,266591.90271814563,162987.60664143428,468807.2128358561,101000.81875242417,323586.99831875216,196349.13446534303,196484.23364701652,241087.64395016493,158655.0217386624,171203.3293980458,213717.2270017688,136280.64986219964,116972.93763099494,289980.046112286,263720.84129902354,202209.8737837798,117466.83916945785,150380.4385405426,132133.16132909697,117628.90859220014,127665.62136791316,107120.8957622552,188844.89948160865,142722.701177433,105228.44241946872,123935.37628882706,118928.81899952808
