,California,Virginia,Florida,New York,New Jersey,Texas,Utah,Washington,Illinois,Colorado,Arkansas,Arizona,Nevada,Michigan,New Hampshire,Rhode Island,Pennsylvania,Tennessee,Massachusetts,the District of Columbia,Minnesota,North Carolina,Oregon,Georgia,Hawaii,West Virginia,Maryland,Maine,Idaho,Alaska,Montana,South Carolina,North Dakota,Wisconsin,Vermont,Missouri,Kansas,Connecticut,Delaware,Wyoming,Mississippi,Louisiana,Alabama,Indiana,Nebraska,Oklahoma,New Mexico,South Dakota,Kentucky,Ohio,Iowa
2018-09-01,526918.4844386347,258346.29271284284,228754.14589376337,326737.76429508434,330684.41754554707,200779.11048190165,310607.5608531015,375639.39560323226,182427.70667478838,368394.11310391035,136639.75995396994,251734.27862402957,284884.5041013958,155246.91369270315,265528.3969032807,279051.36760298506,175933.70372588976,182914.42847159551,404535.6514693657,551752.4430004897,233085.14971890987,190417.7158183741,340901.198788535,187079.62523937726,600686.3435383161,111258.05596495049,299270.6097360474,219441.89423664063,244958.1763397041,279219.57601005834,255238.8260991836,177261.85768989407,209153.2151034032,187874.55816325496,248683.7892048493,154290.98856064712,141987.4345644091,246378.19926143423,255944.35671598068,234413.50751527763,128223.13849528886,167180.34413737198,145836.49552334085,145271.45048379188,165895.26827449186,128169.5795270659,182941.70996396313,193532.74289892567,128212.17334788917,139938.57053908912,148339.3097181466
2018-10-01,530509.1048526998,258882.01719910724,229880.3186223063,328318.14997476386,331087.53894365084,201447.68790338794,312471.29051210725,376364.4747896241,182405.3234361401,369580.4548805281,136671.04494260068,253154.78132301816,287398.8884979805,155347.4196160516,265993.9775908158,279659.8648299149,176175.2590340314,183569.31353582907,405253.6989679502,553081.65235093,233530.9596925977,191279.151246622,341430.471351212,188281.46319597177,601832.9074952808,111403.26548965024,299851.8117556482,220151.93699047656,247422.77382097906,279374.3925390636,256101.02659426475,177919.94754223383,208745.7233301775,188143.08334323438,249212.82411440913,154812.27762260332,142350.449279997,246643.07474039248,256281.10121747004,235145.37749789495,128463.52397481936,166893.28628732296,146111.21322388665,145986.00807543087,166355.43168283664,128518.03025925688,183723.3748522908,193890.05451970606,128571.53070931835,140540.97104348356,148595.76950850882
2018-11-01,533048.2418518282,259426.69877996258,231076.18785980853,329442.31839624053,331711.30175017094,202205.83220131602,314312.5986753543,376818.60951057,182557.78530826842,370725.58977147954,136905.3152054058,254461.73640078804,289378.61152132176,155690.93186330402,266351.88292756444,279887.1610683782,176447.27900441003,184185.75861605108,405472.35141495074,555120.386788236,234019.72105107378,192251.93507127176,341871.7776576173,189581.5894419358,602218.3198433217,111772.36169755358,300396.54836091003,220613.0192180761,249805.7667668727,279436.5743137421,256954.76962448284,178522.6122195622,208449.32230749298,188587.80794535697,249443.56160157535,155439.3998328742,142852.57340418606,246831.85210645688,256784.5779064875,235763.47552135005,129122.88905539288,166896.7132934083,146520.9011050792,146789.10549389952,166901.27118867566,129161.74885496435,184500.41860271338,194449.07141291143,129038.92502767556,141251.54848335433,149037.66798545746
2018-12-01,534535.9824279427,259961.59177540502,232368.6032092967,330101.82850909006,332495.27450522274,203048.8272422372,315956.6898405983,377447.2359575797,182931.1662872755,371999.86906732345,137267.77014762923,255614.73000257232,290879.94119900884,156259.23717545878,266761.9373714228,280018.845350327,176813.52388224576,184964.02342923425,405117.0127978565,556525.0580349673,234724.12889715136,193281.1780867408,342750.3529834348,190919.64394284182,602611.9918456626,112027.48032097734,300900.8892046735,221180.3015117522,252088.11207860088,279081.0073598227,257620.77611875348,179093.953018117,208127.5596769383,189265.1415407475,249605.22423291474,155945.41339515717,143283.6795878938,246931.72802552665,257317.8519395443,236155.7476176096,129693.56850109396,167107.0689949066,147040.0940507728,147502.7071884387,167322.87908546126,129865.90536836238,185160.78640268452,195163.7939698839,129534.0691024405,141967.78638874943,149448.52532575896
2019-01-01,534071.9870935958,260686.3184621502,233534.92471613557,331174.3710248217,333542.41228168947,203884.0397478188,318043.07207001676,378158.89308786136,183718.4211165499,373449.1792156661,137841.48839150555,256893.82460508108,292121.4112222407,157344.480325843,267081.6778318146,280215.9290683929,177464.79637389843,186087.53817495515,404992.2017310604,557645.7962422869,235855.67260137686,194414.31965448588,344074.1497078622,192343.0292882369,602706.471619002,112275.76491354786,301568.82907720626,221745.1907214349,254267.39039739853,280882.18694577436,258357.49854420006,179877.10935643397,208184.74205263122,190411.9994677767,249857.66732591877,156656.34271322665,143777.01424129025,247073.43525180046,258307.38073437652,236676.59301792856,130206.52393577818,167915.62810738862,147926.93126789134,148404.8166886754,168081.4152654306,130369.22694341482,185935.8602836995,196087.56707527573,130213.3164721454,142815.77689723345,150098.9387980639
2019-02-01,532476.5357988599,261737.09747670477,234581.48577939183,332685.11916421,334818.11097104085,204620.11074931096,320480.78442901064,379304.0000454045,184871.97705033646,375331.2433824634,138520.09854668853,258439.97272972486,293439.31837711553,158685.32633417295,267650.9252401723,280790.81538255775,178444.34881133508,187504.95341635635,405479.9856368064,557883.412253812,237441.7761130228,195475.77552153045,345774.0105047406,193643.85543989416,603018.888981087,112549.10725565699,302705.68566080823,222316.10411332792,256363.58885135685,284557.3528273713,259204.6692820778,180680.1206922561,208770.31818780582,191890.20373851762,250176.58340284775,157483.3035727502,144356.26229600928,247419.07276091026,259702.6718637879,237491.97194442453,130517.86179386529,169087.89900316636,148982.24360944095,149339.30967973036,168965.98034596952,130784.49977713033,186615.39665017682,197150.56730530443,130945.79675660927,143777.5084222716,151017.3867245613
2019-03-01,530668.8947624777,263098.75102240633,235289.182736211,334322.91300958995,336506.78077641095,205256.92338407118,323201.688211923,381100.5968237628,185956.8983185381,377378.5595457782,139260.98399981152,259946.0159786014,294727.4225329417,160136.870191838,268592.2539013272,281598.99406077736,179474.71256436652,189019.32638401314,406559.73748881766,559484.0865729257,239224.64389970616,196568.34445826194,347436.7483891339,194798.82615915104,603594.8442194433,112845.15863760277,304294.7884640292,223090.10554161822,258558.51958405707,,260522.61663342218,181605.0102852238,209649.22844665716,193496.04261406764,250620.4911617145,158515.57484661564,145172.25027781542,247938.8475621634,261118.25660544427,238731.95647041826,131072.1399138041,170542.95153990746,150206.73698846682,150484.0846689011,170008.57549746856,131169.3150870402,187415.20575799103,198342.09109474285,131747.39432351012,144749.2747226167,152100.26162124347
2019-04-01,529631.4013675995,264450.39226531476,235800.18387244942,335700.779058295,338428.30715228413,205794.7408435299,325338.69719449815,383054.4800119445,186772.95011903803,379210.27106069727,140045.81356362687,261220.09202483264,295790.215069832,161418.81031507294,269811.34377411526,282734.49499226385,180307.0309726433,190309.51381086998,408210.7306811025,561687.6237808143,240751.06004930183,197557.51389613867,348737.51171672856,195748.87010710652,604671.1587804117,113114.24406342696,305978.4819804009,223960.21857514806,260763.89783360503,292949.7514461831,261996.36566254645,182428.83219226982,210395.21536830696,194803.12260886657,251090.19964153602,159433.36030940386,145991.29758352434,248485.12188841563,262379.2012269871,240163.66346367393,131740.93812142705,171846.88418253162,151164.90122233558,151445.599657031,170935.17147096456,131658.4328171801,188411.81481956466,199477.37450503846,132495.36503963117,145491.64075447104,152989.73494804068
2019-05-01,529010.3016510486,265358.531719516,236074.83318339498,336487.9493254083,339897.95060711255,206278.01039075604,326714.4166560742,384756.39741867065,187136.9806068039,380176.67029387667,140728.01181995307,262154.63068076334,296121.6501467689,162410.79912939263,271062.8757219401,283552.44278526475,180853.7496449143,191360.79192804304,409376.0142720815,563195.5939808072,241704.73713806705,198416.92778189527,349409.9578272233,196528.53791270594,605548.7940325154,113196.67857693094,307131.28163231426,224518.2226084229,262877.89366157696,295049.83617744315,263307.3136374304,183212.65480864022,211012.88375398843,195758.6813911914,251356.7944044622,160081.16133493054,146584.81737301248,248756.71247647968,262900.67937804136,241407.20998312984,132391.86389608312,172772.60094069826,151798.06456489532,152158.2833666388,171715.35419357874,132059.19269226232,189606.28331288102,200358.74398017654,133016.92237428852,145955.65132589632,153666.47254630594
2019-06-01,528627.2917899205,265944.5928448217,236472.74326501778,337448.60761401587,340959.60521282116,206746.83519261001,327599.62452533125,386084.9455969013,187323.7308652579,380763.6612820465,141484.37474155918,263114.9781153046,296397.9900424773,163137.9028684854,272364.195545818,284294.3893392991,181450.36278463938,192414.26380582506,410405.63076825114,563253.1139527882,242386.61463898842,199132.0374409079,349943.9951470236,197200.44933964754,606096.9614534229,113285.00146173744,307891.3642394244,224986.10565257285,264957.4352429426,296506.800196044,264456.8097965131,183976.41302932985,211891.27873493373,196501.64924363783,251576.03847308524,160619.65648327788,147081.366866344,248904.14113563937,262921.4466667484,242777.21715792842,132993.58210603145,173270.5689580861,152307.2611234031,152721.79289447263,172498.7284463567,132585.77571183402,190702.27056837166,201094.11349827048,133441.31162393073,146399.78180297677,154239.8094161193
