Year,Month,Day,CPI,ZHVI,State
2002,01,10,181.3,151562.73106701774,Virginia
2002,01,10,181.3,132543.41384253683,Florida
2002,01,10,181.3,189000.2451583481,New York
2002,01,10,181.3,223439.36236600904,New Jersey
2002,01,10,181.3,115998.94667052545,Texas
2002,01,10,181.3,174936.13426474304,Utah
2002,01,10,181.3,193377.72809006795,Washington
2002,01,10,181.3,151187.8483425229,Illinois
2002,01,10,181.3,213927.8145949389,Colorado
2002,01,10,181.3,92749.88301501858,Arkansas
2002,01,10,181.3,153096.77770260884,Arizona
2002,01,10,181.3,175670.40883950234,Nevada
2002,01,10,181.3,130282.91625758437,Michigan
2002,01,10,181.3,180685.55835051983,New Hampshire
2002,01,10,181.3,180777.80283226055,Rhode Island
2002,01,10,181.3,112207.9307945174,Pennsylvania
2002,01,10,181.3,115537.5839972606,Tennessee
2002,01,10,181.3,269863.3541445276,Massachusetts
2002,01,10,181.3,216942.446759945,the District of Columbia
2002,01,10,181.3,162575.87069885165,Minnesota
2002,01,10,181.3,136425.9522318206,North Carolina
2002,01,10,181.3,164809.94773027135,Oregon
2002,01,10,181.3,141685.16223042738,Georgia
2002,01,10,181.3,231024.8258046192,Hawaii
2002,01,10,181.3,78549.23272761646,West Virginia
2002,01,10,181.3,183258.84285398695,Maryland
2002,01,10,181.3,136899.97721895005,Maine
2002,01,10,181.3,129235.43769763084,Idaho
2002,01,10,181.3,168014.06412343995,Alaska
2002,01,10,181.3,121548.78857024763,South Carolina
2002,01,10,181.3,132899.26576008237,Wisconsin
2002,01,10,181.3,137180.10700709073,Vermont
2002,01,10,181.3,112095.853219449,Missouri
2002,01,10,181.3,96258.51922144934,Kansas
2002,01,10,181.3,202138.4398799972,Connecticut
2002,01,10,181.3,169217.57775915088,Delaware
2002,01,10,181.3,140261.30767898526,Wyoming
2002,01,10,181.3,91925.90453085511,Mississippi
2002,01,10,181.3,113548.6598232332,Louisiana
2002,01,10,181.3,105081.73943960226,Alabama
2002,01,10,181.3,101808.30694079545,Indiana
2002,01,10,181.3,109508.13313408603,Nebraska
2002,01,10,181.3,88687.14883566601,Oklahoma
2002,01,10,181.3,131998.62915436024,New Mexico
2002,01,10,181.3,110570.67690443622,South Dakota
2002,01,10,181.3,90649.2878803955,Kentucky
2002,01,10,181.3,113234.85413783102,Ohio
2002,01,10,181.3,98952.44774645809,Iowa
2002,01,11,181.3,266414.85957757826,California
2002,01,11,181.3,152858.02423439937,Virginia
2002,01,11,181.3,133645.5819790891,Florida
2002,01,11,181.3,190604.54881200148,New York
2002,01,11,181.3,226573.6005467374,New Jersey
2002,01,11,181.3,116337.98466284868,Texas
2002,01,11,181.3,174695.81973497153,Utah
2002,01,11,181.3,193987.76316013176,Washington
2002,01,11,181.3,152153.10442446484,Illinois
2002,01,11,181.3,214422.59869713453,Colorado
2002,01,11,181.3,93126.08956494911,Arkansas
2002,01,11,181.3,153731.60992319832,Arizona
2002,01,11,181.3,176739.06848539272,Nevada
2002,01,11,181.3,130693.97758196974,Michigan
2002,01,11,181.3,182821.09858681692,New Hampshire
2002,01,11,181.3,183909.0822030945,Rhode Island
2002,01,11,181.3,112916.12311585304,Pennsylvania
2002,01,11,181.3,115798.7721821054,Tennessee
2002,01,11,181.3,273786.51872720267,Massachusetts
2002,01,11,181.3,220433.77049010823,the District of Columbia
2002,01,11,181.3,163753.97500002602,Minnesota
2002,01,11,181.3,136657.15911011305,North Carolina
2002,01,11,181.3,165456.1774049851,Oregon
2002,01,11,181.3,142104.73384303114,Georgia
2002,01,11,181.3,233451.655478062,Hawaii
2002,01,11,181.3,78793.47595734864,West Virginia
